Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal,
2111,2/23/2015 0:00,14553,555360,115,04    DRIVER'S REPORT,REMOVE SPREADER,4.49,0,4.49,2
2111,2/23/2015 0:00,14648,525672,231,04    DRIVER'S REPORT,NEEDS FLOORMATTS/DAVE P,65.07,0,65.07,2
2111,2/24/2015 0:00,14238,621924,210,38    WARRANTY,REAR WHEEL SEALS & BRAKES,949.15,0,949.15,1
2111,2/24/2015 0:00,14269,B71797      ,272,04    DRIVER'S REPORT,STROBE LIGHTS INOP CHECK REV LIGHTS,25.16,0,25.16,2
2111,2/24/2015 0:00,14313,525999,114,04    DRIVER'S REPORT,NO PLOW LIGHTS,11.79,0,11.79,2
2111,2/24/2015 0:00,14331,1758,123,04    DRIVER'S REPORT,CHECK REAR TIRESCHECK BACK LIGHTS,223.81,0,223.81,1
2111,2/24/2015 0:00,14352,1759,131,13    SNOW BREAKDOWN,CONVOYOR CHAIN LOOSEPLOW LIGHTS,41.79,0,41.79,1
2111,2/24/2015 0:00,14354,621924,210,40    NEGLIGENCE,MIRROR BRAKET,38.53,0,38.53,2
2111,2/24/2015 0:00,14358,1628,236,13    SNOW BREAKDOWN,WIPER BLADESREV LIGHTSSPRING FOR COVOYOR ADJUSTER,71.32,0,71.32,1
2111,2/24/2015 0:00,14364,1758,123,13    SNOW BREAKDOWN,WIPER BLADESCONVOYOR DOOR REPAIR,65.94,0,65.94,1
2111,2/24/2015 0:00,14394,1365,244,13    SNOW BREAKDOWN,ANTI FREEZE LEAK CHECK REAR LIGHTS,1836.75,0,1836.75,1
2111,2/24/2015 0:00,14396,B34631      ,277,04    DRIVER'S REPORT,2 WAY RADIO LOOSE,0,0,0,2
2111,2/24/2015 0:00,14410,1758,123,13    SNOW BREAKDOWN,MARKER LIGHTS MISSINGWIPER BLADESAIR HORN BRAKET MUD FLAP,27.83,0,27.83,1
2111,2/24/2015 0:00,14419,110301,607,40    NEGLIGENCE,REPAIR BROOM ATTACCHMENT,1684.14,0,1684.14,1
2111,2/24/2015 0:00,14422,337655,234,13    SNOW BREAKDOWN,NO PLOW LIGHTS,0,0,0,2
2111,2/24/2015 0:00,14442,555360,115,13    SNOW BREAKDOWN,TRANS NOT SHIFTING,64.25,0,64.25,2
2111,2/24/2015 0:00,14456,B71796      ,271,04    DRIVER'S REPORT,CHECK BELtTHYD END FOR PLOW,219.47,0,219.47,1
2111,2/24/2015 0:00,14482,621921,214,10    ROADCALL,ROAD CALL TRUCK WILL NOT MOVE,340.72,0,340.72,1
2111,2/24/2015 0:00,14504,621924,210,40    NEGLIGENCE,RIGHT FRONT HUB MISSINGRIGHT LOWER MIRROR BRACKET BROKEN,45.53,0,45.53,2
2111,2/24/2015 0:00,14533,313183,10,04    DRIVER'S REPORT,PM SERVICESCHECK TIRES FOR LEAKSCHECK PLOWBATTERY,66.83,0,66.83,2
2111,2/24/2015 0:00,14539,621909,213,04    DRIVER'S REPORT,needs sander spot light /shaky,103.15,0,103.15,1
2111,2/24/2015 0:00,14540,O01469      ,201,04    DRIVER'S REPORT,jim needs a 55 gal drum of def,172,0,172,1
2111,2/24/2015 0:00,14556,555360,115,10    ROADCALL,WILL NOT START.,0,0,0,2
2111,2/24/2015 0:00,14578,1628,236,13    SNOW BREAKDOWN,NO PTO,0,0,0,2
2111,2/24/2015 0:00,14616,393534,206,10    ROADCALL,ROAD CALL TO HIGHWAYNO START,79.93,0,79.93,2
2111,2/25/2015 0:00,14565,B31275      ,110,01    BREAKDOWN            ***,BROKEN PLOW FRAMEPARTS ON EARLYER BILL,0,0,0,1
2111,2/25/2015 0:00,14577,B34631      ,277,13    SNOW BREAKDOWN,NO PLOW LIGHTSWINDOW WASHER FLUID,2.39,0,2.39,2
2111,2/25/2015 0:00,14592,525670,232,13    SNOW BREAKDOWN,RIGHT PLOW LIGHT OUTADJUST CONVEYOR CHAININSTALL  AIMS UNIT,0,0,0,2
2111,2/25/2015 0:00,14656,A00413      ,283,13    SNOW BREAKDOWN,ROAD CALL TO SCOFIELD YARDNO START,0,0,0,2
2111,2/26/2015 0:00,14568,574950,215,13    SNOW BREAKDOWN,NO PLOW LIGHTS,17.39,0,17.39,2
2111,2/27/2015 0:00,14233,1466,124,13    SNOW BREAKDOWN,TOWED TRUCK FROM TURNER TO FLEET MAINTENANCEBILLS SERVICEINVOICE 131132$175.00,175,0,175,1
2111,2/27/2015 0:00,14481,1400,227,13    SNOW BREAKDOWN,CHECK TAILGATE LOCKS,10,0,10,2
2111,2/27/2015 0:00,14623,1222,118,13    SNOW BREAKDOWN,LOW COOLANT,89.18,0,89.18,2
2111,2/27/2015 0:00,14641,574950,215,40    NEGLIGENCE,FRONT WHEEL HUB MISSINGFRONT FRENDER BROKEN,23.49,0,23.49,1
2111,2/27/2015 0:00,14646,68936,145,13    SNOW BREAKDOWN,PLOW CHAIN BROKENENGINE HAS NO POWERHINES IHINVOICE #27288$525.1,565.1,0,565.1,1
2111,2/27/2015 0:00,14652,1366,242,13    SNOW BREAKDOWN,CHECK SPINNER,1303.83,0,1303.83,1
2111,2/27/2015 0:00,14655,1225,119,13    SNOW BREAKDOWN,NO REAR BRAKES,1585.07,0,1585.07,1
2111,03-02-2015 00:00,14347,B20087      ,619,13    SNOW BREAKDOWN,PLOW BLADE BOLTS MISSING,25,0,25,2
2111,03-02-2015 00:00,14349,1466,124,13    SNOW BREAKDOWN,PLOW CONTROL HANDLES LOOSE,0,0,0,2
2111,03-02-2015 00:00,14395,1400,227,13    SNOW BREAKDOWN,RIGHT REAR FLAT TIRE,273.15,0,273.15,1
2111,03-02-2015 00:00,14409,B34631      ,277,40    NEGLIGENCE,SPINNER DISK MISSING,168.51,0,168.51,1
2111,03-02-2015 00:00,14424,1628,236,13    SNOW BREAKDOWN,LIGHT ON IN DASH,18,0,18,2
2111,03-02-2015 00:00,14431,525670,232,13    SNOW BREAKDOWN,PLOW BLADE BOLTS,10,0,10,2
2111,03-02-2015 00:00,14522,68932,147,13    SNOW BREAKDOWN,CONVEYOR CHAIN BROKE,650,0,650,1
2111,03-02-2015 00:00,14531,1466,124,13    SNOW BREAKDOWN,LEFT REAR FLAT TIRECHECK LEAF SPRINGS,1505.3,0,1505.3,1
2111,03-02-2015 00:00,14567,621922,212,13    SNOW BREAKDOWN,CONTROL PANEL LOOSE,6.99,0,6.99,2
2111,03-02-2015 00:00,14572,110301,607,13    SNOW BREAKDOWN,SANDER WILL NOT SPIN,0,0,0,2
2111,03-02-2015 00:00,14574,1467,121,13    SNOW BREAKDOWN,NO STROBES NO REX ROTH SYSTEM,21.87,0,21.87,1
2111,03-02-2015 00:00,14583,766153,248,13    SNOW BREAKDOWN,HYD LEAKROAD CALL,221.73,0,221.73,1
2111,03-02-2015 00:00,14588,525998,217,13    SNOW BREAKDOWN,HYD LEAK AT PLOWSPINNER LIGHT,253.72,0,253.72,1
2111,03-02-2015 00:00,14589,1227,241,13    SNOW BREAKDOWN,NO REAR BRAKESUNIT WAS TOWED INTO SHOP FROM HAIG AVEEAST COAST TOWING,887.4,0,887.4,1
2111,03-02-2015 00:00,14591,265908,274,10    ROADCALL,ROAD CALL TO HIGHWAY DEPTNO STARTCHECK ENG LIGHT ON,67.02,0,67.02,1
2111,03-02-2015 00:00,14599,68933,148,01    BREAKDOWN            ***,PTO NOT WORKING AGAIN.,2.74,0,2.74,1
2111,03-02-2015 00:00,14611,B34629      ,167,40    NEGLIGENCE,LOST KEYS,9,0,9,2
2111,03-02-2015 00:00,14615,1243,116,04    DRIVER'S REPORT,COOLANT LEAK,56.3,0,56.3,1
2111,03-02-2015 00:00,14619,B39109      ,178,13    SNOW BREAKDOWN,TAILGATE LOCKS,0,0,0,2
2111,03-02-2015 00:00,14624,621921,214,13    SNOW BREAKDOWN,HTD LEAK SIDE DUMP,256.12,0,256.12,1
2111,03-02-2015 00:00,14625,621908,125,13    SNOW BREAKDOWN,REPLACE WIPERS,18.95,0,18.95,2
2111,03-02-2015 00:00,14627,1468,120,13    SNOW BREAKDOWN,REPLACE WIPER BLADES,14.4,0,14.4,2
2111,03-02-2015 00:00,14633,766153,248,13    SNOW BREAKDOWN,PLOW CABLE BROKEN,110,0,110,2
2111,03-02-2015 00:00,14637,1365,244,13    SNOW BREAKDOWN,ROAD CALL TO SCOFIELD YARDBROKEN PLOW CABLE,0,0,0,1
2111,03-02-2015 00:00,14639,1224,222,13    SNOW BREAKDOWN,ROAD CALL TOWN YARDNOISE IN REAR TIRES FALLEN OFFTOWED IN BY BILLS SERVICEINVOICE # 161149$175.00,496.24,0,496.24,1
2111,03-02-2015 00:00,14650,1467,121,13    SNOW BREAKDOWN,HYD LEAK AT PLOW,35.5,0,35.5,1
2111,03-02-2015 00:00,14681,1469,122,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,0,0,0,2
2111,03-02-2015 00:00,14704,68935,149,40    NEGLIGENCE,L/FRONT HUB CAP BROKEN,22.65,0,22.65,1
2111,03-02-2015 00:00,14709,B24602      ,797,22    CONVERSION,INSTALLATION OF A NEW POLYCAST SANDER -FISHERBOBCAT OF STRATFORDINVOICE 02-58848$4995.95,4995.95,0,4995.95,1
2111,03-02-2015 00:00,14711,B39109      ,178,04    DRIVER'S REPORT,WASHER FLUID,2.39,0,2.39,2
2111,03-05-2015 00:00,14773,1227,241,13    SNOW BREAKDOWN,CHECK REAR-END (BROKEN AXLE)TOW FROM CRANE ROADBILLS TOWINGINVOICE 163457$175.00,4972.21,0,4972.21,1
2111,03-06-2015 00:00,14525,1226,117,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,0,0,0,2
2111,03-06-2015 00:00,14569,68934,146,13    SNOW BREAKDOWN,NO START,0,0,0,2
2111,03-06-2015 00:00,14570,1225,119,13    SNOW BREAKDOWN,NO SPINNER LIGHT,8.82,0,8.82,2
2111,03-06-2015 00:00,14571,1224,222,13    SNOW BREAKDOWN,PLOW CABLEROAD CALL TO SCOFIELD YARD,20,0,20,1
2111,03-06-2015 00:00,14586,1223,220,13    SNOW BREAKDOWN,REAR LEAF SPRINGS,1985.68,0,1985.68,1
2111,03-06-2015 00:00,14607,B34631      ,277,13    SNOW BREAKDOWN,ROADCALL TO HIGHWAYSNO START,0,0,0,2
2111,03-06-2015 00:00,14629,Y11540      ,186,13    SNOW BREAKDOWN,ROAD CALL TO 6TH AND SUMMER WILL NOT MOVE,30,0,30,1
2111,03-06-2015 00:00,14631,B00362      ,107,13    SNOW BREAKDOWN,REPAIR PLOW LIGHTS PLOW FELL OFF,0,0,0,2
2111,03-06-2015 00:00,14685,1628,236,13    SNOW BREAKDOWN,ANTIFREEZE LEAK,18,0,18,2
2111,03-06-2015 00:00,14686,1227,241,13    SNOW BREAKDOWN,CHECK WIPER BLADES,14.4,0,14.4,2
2111,03-06-2015 00:00,14687,1366,242,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,35,0,35,2
2111,03-06-2015 00:00,14688,B34631      ,277,13    SNOW BREAKDOWN,WILL NOT START,0,0,0,2
2111,03-06-2015 00:00,14689,1365,244,13    SNOW BREAKDOWN,CHECK/ REPLACE FLAP ON CONVEYOR DOOR,7.83,0,7.83,1
2111,03-06-2015 00:00,14698,B34633      ,278,13    SNOW BREAKDOWN,"CHECK L/REAR OUTER TIRE, FLATHOSE FOR TOWN YARD WASH BAY/JIM TORECK",395.8,0,395.8,2
2111,03-06-2015 00:00,14718,O01469      ,201,04    DRIVER'S REPORT,NEEDS A DRUM OF DEF/JIMF,172,0,172,1
2111,03-06-2015 00:00,14728,1628,236,13    SNOW BREAKDOWN,CHECK FLUIDS,18,0,18,2
2111,03-06-2015 00:00,14757,1469,122,13    SNOW BREAKDOWN,LEFT REAR INNER FLAT TIRE,472.55,0,472.55,1
2111,03-06-2015 00:00,14766,B34632      ,276,04    DRIVER'S REPORT,NEW PLOW GUIDE POLLS,25.34,0,25.34,1
2111,03-09-2015 00:00,14676,393533,205,13    SNOW BREAKDOWN,CONTAINER LOCK PINSWELD LOCKING SUPPORT ON ROLL OFFARMSTRONG WELDINGINVOICE 3222015$460.00,460,0,460,1
2111,03-09-2015 00:00,14752,1629,235,13    SNOW BREAKDOWN,CHECK CONEYOR & CONTROLS FOR ADJUSTMENT,0,0,0,2
2111,03-09-2015 00:00,14759,68934,146,13    SNOW BREAKDOWN,"KEY BROKEN IN IGNITION, WILL NOT START",0,0,0,2
2111,3/27/2015 0:00,14520,    K01711  ,180,13    SNOW BREAKDOWN,NOT CHARGING,656.07,0,656.07,1
2111,3/13/2015 0:00,14653,A19527      ,613,04    DRIVER'S REPORT,"NO POWER REDUCED POWER LIGHT ONSENT TO GABRIELLIINVOICE 84829MS$1468.93CLEAN DPF, REPLACE SENSOR AND CLEARED CODES",1468.93,0,1468.93,1
2111,3/13/2015 0:00,14781,B34630      ,168,01    BREAKDOWN            ***,"BREAKDOWN, INSTRUMENT CLUSTER AND HARNESS BURNT UPFUEL SYSTEM NOT WORKINGGABRIELLI MACKINVOICE 84832MS$2,375.24",2375.24,0,2375.24,1
2111,3/13/2015 0:00,14823,K01711      ,180,04    DRIVER'S REPORT,"CUT OFF OLD EDGE AND WELD NEW ONE ONARMSTRONG WELDINGINVOICE #10$1,260.00",1260,0,1260,1
2111,3/16/2015 0:00,14464,1364,243,04    DRIVER'S REPORT,CAB AIR RIDE INOPRIGHT SIDE POWER MIRROR INOP,81.32,0,81.32,2
2111,3/16/2015 0:00,14573,1400,227,13    SNOW BREAKDOWN,SIDE DUMP DOESNT MOVEPTO PUMPREPLACE DICKYJOHN SYSTEM,694.85,0,694.85,1
2111,3/16/2015 0:00,14654,149771,612,04    DRIVER'S REPORT,BATTERY KEEPS GOING DEAD,0,0,0,1
2111,3/16/2015 0:00,14682,68937,144,13    SNOW BREAKDOWN,UNIT WILL NOT BUILD UP AIR PRESSURE,209,0,209,2
2111,3/16/2015 0:00,14690,68934,146,13    SNOW BREAKDOWN,WILL NOT START,0,0,0,2
2111,3/16/2015 0:00,14697,1629,235,13    SNOW BREAKDOWN,CONVEYOR DOES NOT WORK,0,0,0,2
2111,3/16/2015 0:00,14700,1226,117,13    SNOW BREAKDOWN,CHECK ANTIFREEZE  &  BENT SPINNER ASSY,448.96,0,448.96,1
2111,3/16/2015 0:00,14730,621921,214,13    SNOW BREAKDOWN,CHECK SHACKLE ON R/SIDE OF PLOW,17.37,0,17.37,2
2111,3/16/2015 0:00,14732,337655,234,13    SNOW BREAKDOWN,CHECK LIGHTS (NOTE LIGHTS FLICKERS)TOW FROM WEST BANK RDBILLS TOWING INVOICE 163453$200.00,225.36,0,225.36,2
2111,3/16/2015 0:00,14743,B71798      ,270,10    ROADCALL,ROADCALL UNIT OVER HEAT (SCOFIELD YARD),170.84,0,170.84,1
2111,3/16/2015 0:00,14745,621923,211,13    SNOW BREAKDOWN,CHECK WIPER BLADES,8.28,0,8.28,2
2111,3/16/2015 0:00,14746,1403,226,13    SNOW BREAKDOWN,CHECK SINNER & AUGER ASSY,0,0,0,2
2111,3/16/2015 0:00,14753,1222,118,13    SNOW BREAKDOWN,CHECK WIPERS,14.4,0,14.4,2
2111,3/16/2015 0:00,14755,1226,117,13    SNOW BREAKDOWN,CHECK ANTIFREEZE & LEFT PLOW LIGHT HIGH BEAM,26.21,0,26.21,2
2111,3/16/2015 0:00,14761,172539,105,13    SNOW BREAKDOWN,CHECK PLOW BLADE BOLTS NEEDED/ NO POWER,34.82,0,34.82,2
2111,3/16/2015 0:00,14767,621923,211,13    SNOW BREAKDOWN,CHECK WARNING LIGHT ON DASH,0,0,0,2
2111,3/16/2015 0:00,14768,68937,144,13    SNOW BREAKDOWN,NEED WIPER BLADES,9.55,0,9.55,2
2111,3/16/2015 0:00,14777,1226,117,13    SNOW BREAKDOWN,CHECK ANTIFREEZE LEVEL,9,0,9,2
2111,3/16/2015 0:00,14786,525998,217,04    DRIVER'S REPORT,NEEDS BRACKET FOR MUDFLAP,19.44,0,19.44,1
2111,3/16/2015 0:00,14808,B34630      ,168,04    DRIVER'S REPORT,FUEL GAUGE DO NOT WORK,384.89,0,384.89,1
2111,3/20/2015 0:00,14891,B39110      ,620,13    SNOW BREAKDOWN,REAR-END NOISE (DIFF NOISE)UNIT TOWD TO GABRIELLI FORD INTERSTATEBILLS TOWINGINVOICE 165098$250.00,250,0,250,1
2111,3/23/2015 0:00,14895,621907,208,40    NEGLIGENCE,CHECK PASSENGER SIDE MIRROR BRACKET,58.53,0,58.53,2
2111,3/23/2015 0:00,14897,621924,210,04    DRIVER'S REPORT,CHECK PASSENGER SIDE MIRROR BRACKET,29.99,0,29.99,2
2111,3/26/2015 0:00,14450,1403,226,13    SNOW BREAKDOWN,HYD LEAKRIGHT SIDE WIPERREMOVE PARTS FOR OTHER TRUCKS  AXLE AND WIPER MOTOR,2431.62,0,2431.62,1
2111,3/26/2015 0:00,14634,1469,122,13    SNOW BREAKDOWN,BROKEN REAR AXLE,402.1,0,402.1,1
2111,3/26/2015 0:00,14640,1402,228,13    SNOW BREAKDOWN,ROAD CALL TO HIGH RIDGE RDTIRES FELL OFFTOWED IN BY BILLS SERVICEBROKEN LEAF SPRINGSINVOICE #161148$175.00,2502.7,0,2502.7,1
2111,3/26/2015 0:00,14647,1226,117,38    WARRANTY,LOW COOLANT,2169.18,0,2169.18,2
2111,3/26/2015 0:00,14660,110294,608,04    DRIVER'S REPORT,R/R TIRE,290.19,0,290.19,2
2111,3/26/2015 0:00,14680,1759,131,13    SNOW BREAKDOWN,"AUGER WILL NOT TURNARMSTRONG WELDING, FABRICATE NEW LOCKING DEVICE AND INSTALL, REWELD PINTHAT WAS ROTTED AND REINFORCEINVOICE 20153$1,000.",1774.46,0,1774.46,1
2111,3/26/2015 0:00,14684,1366,242,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,0,0,0,2
2111,3/26/2015 0:00,14693,525999,114,13    SNOW BREAKDOWN,HYDRA LEAK,25.36,0,25.36,1
2111,3/26/2015 0:00,14710,525671,233,13    SNOW BREAKDOWN,RIGHT SIDE MIRROR BRACKET BASE BROKEN (NEGLIGENCE),39.99,0,39.99,1
2111,3/26/2015 0:00,14725,B31276      ,177,04    DRIVER'S REPORT,CHECK FRONT TIRES,733.92,0,733.92,1
2111,3/26/2015 0:00,14735,B31276      ,177,13    SNOW BREAKDOWN,"CHECK NOISE IN REAR- END (DIFF)TOWED FROM VEHICLE MAINTENANCE TO INTERSTATE FORD IN MILFORDBILLS TOWING, INVOICE 165003$250.00GABRIELLI FORDREPLACE REAR , BEARINGS, SEALSU-JOINTSINVOICE 85031MS      $4570.80",4820.8,0,4820.8,1
2111,3/26/2015 0:00,14802,1244,240,04    DRIVER'S REPORT,"CHECK PLOW FRAME,BOLTS MISSING & ADJUST BRAKES",2776.07,0,2776.07,1
2111,3/26/2015 0:00,14842,P2115D      ,152,04    DRIVER'S REPORT,NEEDS HYDRANT HOSE/RONNY CAPP/PETE,312.11,0,312.11,1
2111,3/26/2015 0:00,14854,B34629      ,167,10    ROADCALL,DONT START,0,0,0,2
2111,3/26/2015 0:00,14881,621922,212,13    SNOW BREAKDOWN,CHECK AUTO TARP ASSY ON R/SIDE,24.2,0,24.2,2
2111,3/26/2015 0:00,14906,110301,607,10    ROADCALL,LEFT FRONT FLAT TIRE,350,0,350,1
2111,3/27/2015 0:00,14415,X01917      ,282,13    SNOW BREAKDOWN,"HYD LEAKSENT TO CAT TO REPAIR/REPLACE MAIN HYDRAULIC CONTROL VALVE AND ASSYHO PENNINVOICE WOCE0581604$9,083.02",9083.02,0,9083.02,1
2111,3/27/2015 0:00,14416,K01711      ,180,10    ROADCALL,DONT START,324.8,0,324.8,2
2111,3/27/2015 0:00,14703,1467,121,13    SNOW BREAKDOWN,CHECK BENT SPINNER ASSY,1218.96,0,1218.96,1
2111,3/27/2015 0:00,14712,B39109      ,178,13    SNOW BREAKDOWN,"CHECK BROKEN PLOW LIGHT, L/FRONT FLAT TIRE, ALSO NEED WASHER FLUID  INSTALL PLOW LITE",90.61,0,90.61,2
2111,3/27/2015 0:00,14738,621922,212,13    SNOW BREAKDOWN,CHECK PLOW CABLES,0,0,0,2
2111,3/27/2015 0:00,14788,1469,122,10    ROADCALL,ROAD CALL NO BRAKES,1620.49,0,1620.49,1
2111,3/27/2015 0:00,14824,O01469      ,201,04    DRIVER'S REPORT,NEEDS BATTERY FOR GREASE GUN/JIM FHADRWAREDRUM OF DEF,296,0,296,1
2111,3/27/2015 0:00,14839,1466,124,40    NEGLIGENCE,BENT SPINNER ASSY,2163.69,0,2163.69,1
2111,3/27/2015 0:00,14846,B31275      ,110,04    DRIVER'S REPORT,"CHECK TRANSMISSION, & REAR-END",219.27,0,219.27,2
2111,3/27/2015 0:00,14850,B34632      ,276,04    DRIVER'S REPORT,CHECK PLOW LIGHTS & GREASE FITTING ON SPINNER SHAFT,18.46,0,18.46,2
2111,3/27/2015 0:00,14860,1466,124,04    DRIVER'S REPORT,CHECK BRAKES,1563.96,0,1563.96,1
2111,3/30/2015 0:00,14297,B34630      ,168,01    BREAKDOWN            ***,TOWED IN STALLS WHILE DRIVING,28.33,0,28.33,1
2111,3/30/2015 0:00,14370,68932,147,13    SNOW BREAKDOWN,PLOW GUIDES,81.48,0,81.48,2
2111,3/30/2015 0:00,14816,259441,275,04    DRIVER'S REPORT,MISSING KEYS/JOSE,47.72,0,47.72,2
2111,3/30/2015 0:00,14833,52565,626,04    DRIVER'S REPORT,LIFT DOES NOT WORK,20,0,20,1
2111,3/30/2015 0:00,14834,P2135D      ,153,04    DRIVER'S REPORT,SWEEPER WATER LINE PLUGGED.,0,0,0,1
2111,3/30/2015 0:00,14896,574950,215,04    DRIVER'S REPORT,CHECK ENGINE LIGHT ON.,0,0,0,2
2111,3/30/2015 0:00,14932,W02240      ,179,04    DRIVER'S REPORT,WILL NOT START,0,0,0,2
2116,01-02-2015 00:00,13680,82039,261,04    DRIVER'S REPORT,HYD OIL LEAK AT VAC MOTOR.,134.84,0,134.84,1
2116,01-09-2015 00:00,14387,704097,262,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),INSTALLATION OF NEW RADIO NORTHEASTERN COMMUNICATIONINVOICE 1025403$767.08,767.08,0,767.08,1
2116,2/24/2015 0:00,14620,146198,27,04    DRIVER'S REPORT,CHECK ENGINE LIGHT ON,0,0,0,2
2116,3/26/2015 0:00,14285,82039,261,10    ROADCALL,"RADIATOR, FAN",2149.31,0,2149.31,1
2116,3/27/2015 0:00,14905,645957,263,10    ROADCALL,DONT START,0,0,0,2
2121,01-07-2015 00:00,14200,A97772      ,94,04    DRIVER'S REPORT,NEEDS STARTING FLUID FOR SERVICE TRUCK,15.96,0,15.96,2
2121,1/15/2015 0:00,14258,348543,61,29    ACCIDENT,"ACCIDENTTWIN RIDGE AUTO BODYINVOIC E13064$4,895.23",0,0,0,2
2121,2/24/2015 0:00,14605,A97772      ,94,04    DRIVER'S REPORT,STARTER FLUID,10.47,0,10.47,2
2121,03-02-2015 00:00,14706,C95215      ,92,04    DRIVER'S REPORT,NEEDS STARTING FLUID,3.49,0,3.49,2
2121,03-05-2015 00:00,14740,A97772      ,94,11    OTHER,NEEDS PLOW FLUID FOR STOCKSTARING FLUID,23.18,0,23.18,2
2121,3/26/2015 0:00,14929,348543,61,04    DRIVER'S REPORT,WASHCLASSIC 3-D CAR CAREINVOICE AD-0215$11.00,11,0,11,2
2135,01-05-2015 00:00,14153,242480,428,10    ROADCALL,WILL NOT START,0,0,0,2
2135,01-05-2015 00:00,14159,145595,60,08    PM SERVICE              ***,CHECK BATTERYPM SERVICE,137.43,0,137.43,2
2135,01-05-2015 00:00,14160,157526,511,40    NEGLIGENCE,OIL CAP,5.29,0,5.29,2
2135,01-06-2015 00:00,13941,-2021,,04    DRIVER'S REPORT,"COMPLETE SERVICE,UNIT MOVES VERY SLOWLY",398.09,0,398.09,1
2135,01-06-2015 00:00,13962,735093,,04    DRIVER'S REPORT,SPARK PLUG SMOKING,5,0,5,1
2135,01-06-2015 00:00,14133,Y14264      ,531,08    PM SERVICE              ***,"CHECK HYDRA LEAK , & PM SERVICE",180.53,0,180.53,1
2135,01-06-2015 00:00,14173,B71793      ,59,10    ROADCALL,WILL NOT START,0,0,0,2
2135,01-12-2015 00:00,14230,D12433      ,444,04    DRIVER'S REPORT,NEEDS WIPER BLADES/KEVIN,14.4,0,14.4,2
2135,01-12-2015 00:00,14231,271149,429,04    DRIVER'S REPORT,NEEDS WIPER BLADES,14.4,0,14.4,2
2135,01-12-2015 00:00,14235,242480,428,04    DRIVER'S REPORT,NEEDS WIPER BLADES,6.46,0,6.46,2
2135,1/14/2015 0:00,14067,D12434      ,450,08    PM SERVICE              ***,"PM, SERVICE, CHECK ALL FLUID, HYDRA LEAK ON PLOW. PLOW DOES NOT MOVE. FLASHER LIGHT NEEDED ON TOP OF UNIT.",418.34,0,418.34,1
2135,1/14/2015 0:00,14204,172326,521,40    NEGLIGENCE,sunvisor broke/taken by rob o,119.6,0,119.6,1
2135,1/14/2015 0:00,14210,D00249      ,506,04    DRIVER'S REPORT,ENGINE LIGHT ON ENGINE MISSFIRE,119.44,0,119.44,2
2135,1/14/2015 0:00,14211,C95216      ,435,08    PM SERVICE              ***,SERVICEWIPER BLADES,148.71,0,148.71,2
2135,1/14/2015 0:00,14236,310070,425,04    DRIVER'S REPORT,NEEDS WIPER BLADES,6.46,0,6.46,2
2135,1/20/2015 0:00,14197,555359,596,04    DRIVER'S REPORT,EXHUST LEAKAIR LEAKCHECK LIGHTS,546.81,0,546.81,1
2135,1/20/2015 0:00,14259,16172,499,04    DRIVER'S REPORT,FLAT TIRE RIGHT SIDE,95,0,95,2
2135,1/20/2015 0:00,14281,242480,428,04    DRIVER'S REPORT,CHECK GAS PEDDLE,18,0,18,2
2135,1/27/2015 0:00,14341,512810,50,04    DRIVER'S REPORT,NEEDS WASHER FLUID,1.79,0,1.79,2
2135,1/30/2015 0:00,14316,D22892      ,451,04    DRIVER'S REPORT,LEAK ON PLOW PUMP,8.08,0,8.08,2
2135,1/30/2015 0:00,14323,D12433      ,444,04    DRIVER'S REPORT,NO PLOW LIGHTS,13.86,0,13.86,2
2135,1/30/2015 0:00,14381,555359,596,13    SNOW BREAKDOWN,HYD LEAK,253.93,0,253.93,1
2135,02-02-2015 00:00,14304,512606,51,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),INSERVICE,36.18,0,36.18,1
2135,02-03-2015 00:00,14458,D22892      ,451,04    DRIVER'S REPORT,NEEDS HYD FLUID FOR PLOW/BOB GREEN,8.1,0,8.1,2
2135,02-04-2015 00:00,14403,735093,,04    DRIVER'S REPORT,PM SERVICE,305.31,0,305.31,1
2135,02-04-2015 00:00,14428,512810,50,13    SNOW BREAKDOWN,PLOW GUIDE BROKEN,22.81,0,22.81,1
2135,02-04-2015 00:00,14449,512810,50,13    SNOW BREAKDOWN,PLOW BOLTS,10,0,10,2
2135,02-05-2015 00:00,14493,170716,54,04    DRIVER'S REPORT,FUEL SYSTEM INOP,0,0,0,2
2135,02-06-2015 00:00,14425,512606,51,13    SNOW BREAKDOWN,PLOW LIGHT OUT,8.77,0,8.77,2
2135,02-06-2015 00:00,14436,D12433      ,444,13    SNOW BREAKDOWN,R/R TIRE FLAT,175,0,175,2
2135,02-06-2015 00:00,14468,170716,54,13    SNOW BREAKDOWN,MISSING PLOW BOLTS,10,0,10,2
2135,02-06-2015 00:00,14486,Y14264      ,531,04    DRIVER'S REPORT,NEEDS  LIGHTS BULBS/,13.66,0,13.66,2
2135,02-09-2015 00:00,14513,170716,54,04    DRIVER'S REPORT,car washclassic 3-dinvoice op-0115$10.00,10,0,10,1
